* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = E:\KIPlaty\KIPlaty_plate4.eds
* Experiment Run End Time = 2017-11-17 10:54:25 AM EST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	CT	CT Mean	CT SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP	EXPFAIL
A1																		N	N	N
A2	NTC	Pax-C	NTC	SYBR	None	Undetermined						false	0.01	true	3	39		N	N	N
A3	KI15cFMD372	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	38.8074					false	0.01	true	3	39		Y	Y	Y
A3	KI15cFMD372	D	UNKNOWN	FAM	NFQ-MGB	33.2553	32.8593	0.56				false	0.01	true	3	32		Y	Y	Y
A4	KI15cFMD372	C	UNKNOWN	VIC	NFQ-MGB	38.8074	38.8074					false	0.01	true	3	39		Y	Y	Y
A4	KI15cFMD372	D	UNKNOWN	FAM	NFQ-MGB	32.4634	32.8593	0.56				false	0.01	true	3	31		Y	Y	Y
A5	KI16aFMD120	Pax-C	UNKNOWN	SYBR	None	18.2433	18.4459	0.2865				false	0.01	true	3	16		N	N	N
A6	KI16aFMD120	Pax-C	UNKNOWN	SYBR	None	18.6485	18.4459	0.2865				false	0.01	true	3	15		N	N	N
A7	KI16aFMD120	C	UNKNOWN	VIC	NFQ-MGB	35.4402	35.0813	0.5077				false	0.01	true	3	39		Y	N	Y
A7	KI16aFMD120	D	UNKNOWN	FAM	NFQ-MGB	25.3412	25.3689	0.0392				false	0.01	true	3	24		Y	N	Y
A8	KI16aFMD120	C	UNKNOWN	VIC	NFQ-MGB	34.7223	35.0813	0.5077				false	0.01	true	3	39		Y	N	Y
A8	KI16aFMD120	D	UNKNOWN	FAM	NFQ-MGB	25.3966	25.3689	0.0392				false	0.01	true	3	24		Y	N	Y
A9	KI15cFMD372	Pax-C	UNKNOWN	SYBR	None	13.8313	14.2223	0.5529				false	0.01	true	3	39		Y	N	Y
A10	KI15cFMD372	Pax-C	UNKNOWN	SYBR	None	14.6133	14.2223	0.5529				false	0.01	true	3	39		Y	N	Y
A11	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N
A11	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N
A12																		N	N	N
B1	KI15cFMD273	Pax-C	UNKNOWN	SYBR	None	18.3929	18.3895	0.0047				false	0.01	true	3	16		N	N	N
B2	KI15cFMD273	Pax-C	UNKNOWN	SYBR	None	18.3862	18.3895	0.0047				false	0.01	true	3	16		N	N	N
B3	KI15cFMD273	C	UNKNOWN	VIC	NFQ-MGB	25.2068	25.2737	0.0946				false	0.01	true	3	24		N	N	N
B3	KI15cFMD273	D	UNKNOWN	FAM	NFQ-MGB	33.0615	33.3562	0.4168				false	0.01	true	3	33		N	N	N
