* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = E:\KIPlaty\KIPlaty_plate5.eds
* Experiment Run End Time = 2017-11-17 12:29:38 PM EST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	CT	CT Mean	CT SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	AMPNC	HIGHSD	NOAMP	EXPFAIL
A1																		N	N	N	N
A2	NTC	PaxC	NTC	SYBR	None	34.956						false	0.01	true	3	35		Y	N	N	N
A3	KI14FQ300	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	31.7806					false	0.01	true	3	39		N	N	Y	Y
A3	KI14FQ300	D	UNKNOWN	FAM	NFQ-MGB	26.3402	26.0081	0.4696				false	0.01	true	3	25		N	N	Y	Y
A4	KI14FQ300	C	UNKNOWN	VIC	NFQ-MGB	31.7806	31.7806					false	0.01	true	3	30		N	N	N	N
A4	KI14FQ300	D	UNKNOWN	FAM	NFQ-MGB	25.676	26.0081	0.4696				false	0.01	true	3	24		N	N	N	N
A5	KI16aFMD104	PaxC	UNKNOWN	SYBR	None	34.8223	36.555	2.4504				false	0.01	true	3	34		N	Y	N	N
A6	KI16aFMD104	PaxC	UNKNOWN	SYBR	None	38.2877	36.555	2.4504				false	0.01	true	3	35		N	Y	N	N
A7	KI16aFMD104	C	UNKNOWN	VIC	NFQ-MGB	37.5461	37.1975	0.4931				false	0.01	true	3	39		N	N	N	Y
A7	KI16aFMD104	D	UNKNOWN	FAM	NFQ-MGB	28.7089	28.7103	0.0019				false	0.01	true	3	27		N	N	N	Y
A8	KI16aFMD104	C	UNKNOWN	VIC	NFQ-MGB	36.8488	37.1975	0.4931				false	0.01	true	3	39		N	N	N	Y
A8	KI16aFMD104	D	UNKNOWN	FAM	NFQ-MGB	28.7116	28.7103	0.0019				false	0.01	true	3	28		N	N	N	Y
A9	KI14FQ300	PaxC	UNKNOWN	SYBR	None	27.478	27.7142	0.3339				false	0.01	true	3	24		N	N	N	N
A10	KI14FQ300	PaxC	UNKNOWN	SYBR	None	27.9503	27.7142	0.3339				false	0.01	true	3	24		N	N	N	N
A11	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	N
A11	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	N
A12																		N	N	N	N
B1	KI15cFMD383	PaxC	UNKNOWN	SYBR	None	33.1921	21.9914	15.8402				false	0.01	true	3	31		N	Y	N	N
B2	KI15cFMD383	PaxC	UNKNOWN	SYBR	None	10.7907	21.9914	15.8402				false	0.01	true	3	38		N	Y	N	Y
B3	KI15cFMD383	C	UNKNOWN	VIC	NFQ-MGB	24.8	24.8782	0.1106				false	0.01	true	3	24		N	N	Y	Y
B3	KI15cFMD383	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
B4	KI15cFMD383	C	UNKNOWN	VIC	NFQ-MGB	24.9564	24.8782	0.1106				false	0.01	true	3	24		N	N	Y	Y
B4	KI15cFMD383	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
B5	KI15cFMD253	PaxC	UNKNOWN	SYBR	None	17.92	17.7467	0.2451				false	0.01	true	3	12		N	N	N	N
B6	KI15cFMD253	PaxC	UNKNOWN	SYBR	None	17.5734	17.7467	0.2451				false	0.01	true	3	14		N	N	N	N
B7	KI15cFMD253	C	UNKNOWN	VIC	NFQ-MGB	24.5623	24.7097	0.2085				false	0.01	true	3	24		N	N	Y	Y
B7	KI15cFMD253	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
B8	KI15cFMD253	C	UNKNOWN	VIC	NFQ-MGB	24.8571	24.7097	0.2085				false	0.01	true	3	24		N	N	Y	Y
B8	KI15cFMD253	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
B9	KI15bFQ069	PaxC	UNKNOWN	SYBR	None	30.7971	30.517	0.3962				false	0.01	true	3	29		N	N	N	N
B10	KI15bFQ069	PaxC	UNKNOWN	SYBR	None	30.2368	30.517	0.3962				false	0.01	true	3	30		N	N	N	N
B11	KI15bFQ069	C	UNKNOWN	VIC	NFQ-MGB	36.2655	34.3115	2.7634				false	0.01	true	3	39		N	Y	N	Y
B11	KI15bFQ069	D	UNKNOWN	FAM	NFQ-MGB	27.2262	27.3266	0.142				false	0.01	true	3	26		N	Y	N	Y
B12	KI15bFQ069	C	UNKNOWN	VIC	NFQ-MGB	32.3575	34.3115	2.7634				false	0.01	true	3	30		N	Y	N	N
B12	KI15bFQ069	D	UNKNOWN	FAM	NFQ-MGB	27.427	27.3266	0.142				false	0.01	true	3	26		N	Y	N	N
C1	KI15cFMD404	PaxC	UNKNOWN	SYBR	None	18.6262	18.4895	0.1934				false	0.01	true	3	17		N	N	N	N
C2	KI15cFMD404	PaxC	UNKNOWN	SYBR	None	18.3527	18.4895	0.1934				false	0.01	true	3	16		N	N	N	N
C3	KI15cFMD404	C	UNKNOWN	VIC	NFQ-MGB	26.386	24.973	1.9982				false	0.01	true	3	26		N	Y	N	N
C3	KI15cFMD404	D	UNKNOWN	FAM	NFQ-MGB	27.867	26.2013	2.3556				false	0.01	true	3	27		N	Y	N	N
C4	KI15cFMD404	C	UNKNOWN	VIC	NFQ-MGB	23.5601	24.973	1.9982				false	0.01	true	3	23		N	Y	N	N
C4	KI15cFMD404	D	UNKNOWN	FAM	NFQ-MGB	24.5356	26.2013	2.3556				false	0.01	true	3	23		N	Y	N	N
C5	KI15cFMD261	PaxC	UNKNOWN	SYBR	None	29.4109	29.688	0.3918				false	0.01	true	3	28		N	N	N	N
C6	KI15cFMD261	PaxC	UNKNOWN	SYBR	None	29.965	29.688	0.3918				false	0.01	true	3	27		N	N	N	N
C7	KI15cFMD261	C	UNKNOWN	VIC	NFQ-MGB	26.768	26.7679	0.0003				false	0.01	true	3	26		N	N	Y	Y
C7	KI15cFMD261	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
