* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = E:\KIPlaty\KIPlaty_plate8.eds
* Experiment Run End Time = 2017-11-17 17:11:48 PM EST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	CT	CT Mean	CT SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP	EXPFAIL
A1																		N	N	N
A2	NTC	PaxC	NTC	SYBR	None	Undetermined						false	0.01	true	3	39		N	N	N
A3	KI15cFMD474	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	32.4535					false	0.01	true	3	39		N	Y	Y
A3	KI15cFMD474	D	UNKNOWN	FAM	NFQ-MGB	24.5731	24.4474	0.1777				false	0.01	true	3	23		N	Y	Y
A4	KI15cFMD474	C	UNKNOWN	VIC	NFQ-MGB	32.4535	32.4535					false	0.01	true	3	35		N	N	N
A4	KI15cFMD474	D	UNKNOWN	FAM	NFQ-MGB	24.3217	24.4474	0.1777				false	0.01	true	3	23		N	N	N
A5	KI16bFMD131	PaxC	UNKNOWN	SYBR	None	17.8021	17.8962	0.133				false	0.01	true	3	13		N	N	N
A6	KI16bFMD131	PaxC	UNKNOWN	SYBR	None	17.9902	17.8962	0.133				false	0.01	true	3	13		N	N	N
A7	KI16bFMD131	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	29.6036					false	0.01	true	3	39		N	Y	Y
A7	KI16bFMD131	D	UNKNOWN	FAM	NFQ-MGB	23.6106	23.5348	0.1072				false	0.01	true	3	22		N	Y	Y
A8	KI16bFMD131	C	UNKNOWN	VIC	NFQ-MGB	29.6036	29.6036					false	0.01	true	3	27		N	N	N
A8	KI16bFMD131	D	UNKNOWN	FAM	NFQ-MGB	23.459	23.5348	0.1072				false	0.01	true	3	22		N	N	N
A9	KI15cFMD474	PaxC	UNKNOWN	SYBR	None	18.2714	18.0514	0.3111				false	0.01	true	3	15		N	N	N
A10	KI15cFMD474	PaxC	UNKNOWN	SYBR	None	17.8314	18.0514	0.3111				false	0.01	true	3	15		N	N	N
A11	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N
A11	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N
A12																		N	N	N
B1	KI17aFMD020	PaxC	UNKNOWN	SYBR	None	18.2	18.3337	0.1891				false	0.01	true	3	15		N	N	N
B2	KI17aFMD020	PaxC	UNKNOWN	SYBR	None	18.4674	18.3337	0.1891				false	0.01	true	3	16		N	N	N
B3	KI17aFMD020	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	Y	Y
B3	KI17aFMD020	D	UNKNOWN	FAM	NFQ-MGB	22.5603	22.6015	0.0583				false	0.01	true	3	21		N	Y	Y
B4	KI17aFMD020	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	Y	Y
