* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = C:\Users\Dani\Documents\Data_Analysis\KI_Platy\data\qPCR\KIPlaty_plate12.eds
* Experiment Run End Time = 2017-11-20 10:41:08 AM PST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	CT	CT Mean	CT SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP	EXPFAIL
A1																		N	N	N
A2																		N	N	N
A3																		N	N	N
A4																		N	N	N
A5																		N	N	N
A6																		N	N	N
A7																		N	N	N
A8																		N	N	N
A9																		N	N	N
A10																		N	N	N
A11																		N	N	N
A12																		N	N	N
B1		PaxC	UNKNOWN	SYBR	None	20.8928	23.1361	5.4892				true	0.3256	true	3	15		Y	N	N
B2		PaxC	UNKNOWN	SYBR	None	20.6081	23.1361	5.4892				true	0.3256	true	3	14		Y	N	N
B3		C	UNKNOWN	VIC	NFQ-MGB	Undetermined	28.1087	5.0898				true	0.0509	true	3	39		N	Y	Y
B3		D	UNKNOWN	FAM	NFQ-MGB	28.2433	27.9654	0.2656				true	0.2802	true	3	22		N	Y	Y
B4		C	UNKNOWN	VIC	NFQ-MGB	Undetermined	28.1087	5.0898				true	0.0509	true	3	39		N	Y	Y
B4		D	UNKNOWN	FAM	NFQ-MGB	27.6102	27.9654	0.2656				true	0.2802	true	3	21		N	Y	Y
B5																		N	N	N
B6																		N	N	N
B7																		N	N	N
B8																		N	N	N
B9																		N	N	N
B10																		N	N	N
B11																		N	N	N
B12																		N	N	N
C1		PaxC	UNKNOWN	SYBR	None	34.9685	23.1361	5.4892				true	0.3256	true	3	29		Y	N	N
C2		PaxC	UNKNOWN	SYBR	None	34.773	23.1361	5.4892				true	0.3256	true	3	29		Y	N	N
C3		C	UNKNOWN	VIC	NFQ-MGB	Undetermined	28.1087	5.0898				true	0.0509	true	3	39		N	Y	Y
C3		D	UNKNOWN	FAM	NFQ-MGB	Undetermined	27.9654	0.2656				true	0.2802	true	3	39		N	Y	Y
C4		C	UNKNOWN	VIC	NFQ-MGB	39.565	28.1087	5.0898				true	0.0509	true	3	35		Y	Y	Y
C4		D	UNKNOWN	FAM	NFQ-MGB	Undetermined	27.9654	0.2656				true	0.2802	true	3	39		Y	Y	Y
C5																		N	N	N
C6																		N	N	N
C7																		N	N	N
C8																		N	N	N
C9																		N	N	N
C10																		N	N	N
C11																		N	N	N
C12																		N	N	N
D1		PaxC	UNKNOWN	SYBR	None	20.9891	23.1361	5.4892				true	0.3256	true	3	13		Y	N	N
