* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = E:\KIPlaty\KIPlaty_plate3.eds
* Experiment Run End Time = 2017-11-16 20:29:31 PM EST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	CT	CT Mean	CT SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	AMPNC	HIGHSD	NOAMP	EXPFAIL
A1																		N	N	N	N
A2	NTC	PaxC	NTC	SYBR	None	32.7032	33.5751	1.2331				false	0.01	true	3	32		Y	Y	N	N
A3	NEC484	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
A3	NEC484	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
A4	NEC484	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
A4	NEC484	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
A5	KI17aFMD316	PaxC	UNKNOWN	SYBR	None	Undetermined	10.9078					false	0.01	true	3	39		N	N	N	Y
A6	KI17aFMD316	PaxC	UNKNOWN	SYBR	None	10.9078	10.9078					false	0.01	true	3	39		N	N	N	Y
A7	KI17aFMD316	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
A7	KI17aFMD316	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
A8	KI17aFMD316	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
A8	KI17aFMD316	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
A9	NEC484	PaxC	UNKNOWN	SYBR	None	36.0276	36.971	1.3342				false	0.01	true	3	35		N	Y	N	N
A10	NEC484	PaxC	UNKNOWN	SYBR	None	37.9144	36.971	1.3342				false	0.01	true	3	33		N	Y	N	N
A11	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	N
A11	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	N
A12																		N	N	N	N
B1	KI15bFMD263	PaxC	UNKNOWN	SYBR	None	34.8094	35.6392	1.1736				false	0.01	true	3	33		N	Y	N	N
B2	KI15bFMD263	PaxC	UNKNOWN	SYBR	None	36.4691	35.6392	1.1736				false	0.01	true	3	33		N	Y	N	N
B3	KI15bFMD263	C	UNKNOWN	VIC	NFQ-MGB	25.122	24.9892	0.1878				false	0.01	true	3	24		N	N	Y	Y
B3	KI15bFMD263	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
B4	KI15bFMD263	C	UNKNOWN	VIC	NFQ-MGB	24.8564	24.9892	0.1878				false	0.01	true	3	24		N	N	N	Y
B4	KI15bFMD263	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	Y
B5	KI16aFMD158	PaxC	UNKNOWN	SYBR	None	17.9918	18.1744	0.2582				false	0.01	true	3	16		N	N	N	N
B6	KI16aFMD158	PaxC	UNKNOWN	SYBR	None	18.3569	18.1744	0.2582				false	0.01	true	3	15		N	N	N	N
B7	KI16aFMD158	C	UNKNOWN	VIC	NFQ-MGB	24.2594	24.36	0.1423				false	0.01	true	3	23		N	N	N	N
B7	KI16aFMD158	D	UNKNOWN	FAM	NFQ-MGB	30.0006	30.0109	0.0145				false	0.01	true	3	29		N	N	N	N
B8	KI16aFMD158	C	UNKNOWN	VIC	NFQ-MGB	24.4606	24.36	0.1423				false	0.01	true	3	24		N	N	N	N
B8	KI16aFMD158	D	UNKNOWN	FAM	NFQ-MGB	30.0211	30.0109	0.0145				false	0.01	true	3	29		N	N	N	N
B9	KI17aFMD008	PaxC	UNKNOWN	SYBR	None	19.411	19.2698	0.1997				false	0.01	true	3	14		N	N	N	N
B10	KI17aFMD008	PaxC	UNKNOWN	SYBR	None	19.1286	19.2698	0.1997				false	0.01	false	3	14		N	N	N	N
B11	KI17aFMD008	C	UNKNOWN	VIC	NFQ-MGB	29.1699	29.1523	0.0248				false	0.01	true	3	26		N	Y	N	N
B11	KI17aFMD008	D	UNKNOWN	FAM	NFQ-MGB	23.1534	23.5169	0.5141				false	0.01	true	3	22		N	Y	N	N
B12	KI17aFMD008	C	UNKNOWN	VIC	NFQ-MGB	29.1348	29.1523	0.0248				false	0.01	true	3	27		N	Y	N	N
B12	KI17aFMD008	D	UNKNOWN	FAM	NFQ-MGB	23.8804	23.5169	0.5141				false	0.01	true	3	22		N	Y	N	N
C1	KI16aFMD091	PaxC	UNKNOWN	SYBR	None	37.6779	37.825	0.2081				false	0.01	true	3	34		N	N	N	N
C2	KI16aFMD091	PaxC	UNKNOWN	SYBR	None	37.9722	37.825	0.2081				false	0.01	true	3	35		N	N	N	N
C3	KI16aFMD091	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	36.8194					false	0.01	true	3	39		N	N	Y	Y
C3	KI16aFMD091	D	UNKNOWN	FAM	NFQ-MGB	24.502	24.4557	0.0654				false	0.01	true	3	23		N	N	Y	Y
C4	KI16aFMD091	C	UNKNOWN	VIC	NFQ-MGB	36.8194	36.8194					false	0.01	true	3	39		N	N	N	Y
C4	KI16aFMD091	D	UNKNOWN	FAM	NFQ-MGB	24.4095	24.4557	0.0654				false	0.01	true	3	23		N	N	N	Y
C5	KI16bFMD094	PaxC	UNKNOWN	SYBR	None	18.5287	18.5527	0.0339				false	0.01	true	3	17		N	N	N	N
C6	KI16bFMD094	PaxC	UNKNOWN	SYBR	None	18.5767	18.5527	0.0339				false	0.01	true	3	14		N	N	N	N
C7	KI16bFMD094	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	30.9109					false	0.01	true	3	39		N	N	Y	Y
C7	KI16bFMD094	D	UNKNOWN	FAM	NFQ-MGB	24.1996	24.0288	0.2415				false	0.01	true	3	23		N	N	Y	Y
C8	KI16bFMD094	C	UNKNOWN	VIC	NFQ-MGB	30.9109	30.9109					false	0.01	true	3	27		N	N	N	N
C8	KI16bFMD094	D	UNKNOWN	FAM	NFQ-MGB	23.8581	24.0288	0.2415				false	0.01	true	3	22		N	N	N	N
C9	KI16aFMD164	PaxC	UNKNOWN	SYBR	None	Undetermined						false	0.01	true	3	39		N	N	N	Y
C10	KI16aFMD164	PaxC	UNKNOWN	SYBR	None	Undetermined						false	0.01	true	3	39		N	N	N	Y
C11	KI16aFMD164	C	UNKNOWN	VIC	NFQ-MGB	39.6574	39.154	0.7119				false	0.01	true	3	39		N	Y	Y	Y
C11	KI16aFMD164	D	UNKNOWN	FAM	NFQ-MGB	31.826	32.2682	0.6254				false	0.01	true	3	31		N	Y	Y	Y
C12	KI16aFMD164	C	UNKNOWN	VIC	NFQ-MGB	38.6506	39.154	0.7119				false	0.01	true	3	38		N	Y	N	Y
C12	KI16aFMD164	D	UNKNOWN	FAM	NFQ-MGB	32.7105	32.2682	0.6254				false	0.01	true	3	32		N	Y	N	Y
D1	KI16aFMD088	PaxC	UNKNOWN	SYBR	None	18.18	17.9178	0.3707				false	0.01	true	3	15		N	N	N	N
D2	KI16aFMD088	PaxC	UNKNOWN	SYBR	None	17.6557	17.9178	0.3707				false	0.01	true	3	15		N	N	N	N
D3	KI16aFMD088	C	UNKNOWN	VIC	NFQ-MGB	37.3332	37.5274	0.2745				false	0.01	true	3	39		N	N	N	Y
D3	KI16aFMD088	D	UNKNOWN	FAM	NFQ-MGB	22.6454	22.6848	0.0557				false	0.01	true	3	21		N	N	N	Y
D4	KI16aFMD088	C	UNKNOWN	VIC	NFQ-MGB	37.7215	37.5274	0.2745				false	0.01	true	3	39		N	N	N	Y
D4	KI16aFMD088	D	UNKNOWN	FAM	NFQ-MGB	22.7242	22.6848	0.0557				false	0.01	true	3	21		N	N	N	Y
D5	KI15cFMD283	PaxC	UNKNOWN	SYBR	None	21.9011	21.7551	0.2065				false	0.01	true	3	20		N	N	N	N
D6	KI15cFMD283	PaxC	UNKNOWN	SYBR	None	21.6091	21.7551	0.2065				false	0.01	true	3	20		N	N	N	N
D7	KI15cFMD283	C	UNKNOWN	VIC	NFQ-MGB	27.813	27.9196	0.1507				false	0.01	true	3	27		N	N	N	N
D7	KI15cFMD283	D	UNKNOWN	FAM	NFQ-MGB	37.6208	37.6208					false	0.01	true	3	35		N	N	N	N
D8	KI15cFMD283	C	UNKNOWN	VIC	NFQ-MGB	28.0262	27.9196	0.1507				false	0.01	true	3	27		N	N	N	Y
D8	KI15cFMD283	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	37.6208					false	0.01	true	3	39		N	N	N	Y
D9	KI16bFMD104	PaxC	UNKNOWN	SYBR	None	20.63	22.3613	2.4483				false	0.01	true	3	18		N	Y	N	N
D10	KI16bFMD104	PaxC	UNKNOWN	SYBR	None	24.0925	22.3613	2.4483				false	0.01	true	3	24		N	Y	N	N
D11	KI16bFMD104	C	UNKNOWN	VIC	NFQ-MGB	30.4848	30.5286	0.062				false	0.01	true	3	27		N	Y	N	N
D11	KI16bFMD104	D	UNKNOWN	FAM	NFQ-MGB	23.9257	24.3495	0.5993				false	0.01	true	3	23		N	Y	N	N
D12	KI16bFMD104	C	UNKNOWN	VIC	NFQ-MGB	30.5725	30.5286	0.062				false	0.01	true	3	28		N	Y	N	N
D12	KI16bFMD104	D	UNKNOWN	FAM	NFQ-MGB	24.7732	24.3495	0.5993				false	0.01	true	3	24		N	Y	N	N
E1	KI16bFMD068	PaxC	UNKNOWN	SYBR	None	18.7631	18.4601	0.4286				false	0.01	true	3	14		N	N	N	N
E2	KI16bFMD068	PaxC	UNKNOWN	SYBR	None	18.157	18.4601	0.4286				false	0.01	true	3	12		N	N	N	N
E3	KI16bFMD068	C	UNKNOWN	VIC	NFQ-MGB	39.0217	38.2869	1.0391				false	0.01	true	3	39		N	Y	Y	Y
