* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = E:\KIPlaty\KIPlaty_plate10.eds
* Experiment Run End Time = 2017-11-18 19:10:08 PM EST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	CT	CT Mean	CT SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP	EXPFAIL
A1																		N	N	N
A2	NTC	PaxC	NTC	SYBR	None	35.4423						false	0.01	true	3	35		N	N	N
A3	NEC486	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	Y	Y
A3	NEC486	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	Y	Y
A4	NEC486	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	Y	Y
A4	NEC486	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	Y	Y
A5	KI14FQ211	PaxC	UNKNOWN	SYBR	None	Undetermined						false	0.01	true	3	39		N	N	Y
A6	KI14FQ211	PaxC	UNKNOWN	SYBR	None	Undetermined						false	0.01	true	3	39		N	N	Y
A7	KI14FQ211	C	UNKNOWN	VIC	NFQ-MGB	34.8872	35.2985	0.5817				false	0.01	true	3	34		Y	N	Y
A7	KI14FQ211	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		Y	N	Y
A8	KI14FQ211	C	UNKNOWN	VIC	NFQ-MGB	35.7099	35.2985	0.5817				false	0.01	true	3	35		Y	N	Y
A8	KI14FQ211	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		Y	N	Y
A9	NEC486	PaxC	UNKNOWN	SYBR	None	34.1862	34.735	0.7762				false	0.01	true	3	32		Y	N	N
A10	NEC486	PaxC	UNKNOWN	SYBR	None	35.2839	34.735	0.7762				false	0.01	true	3	34		Y	N	N
A11	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N
A11	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N
A12																		N	N	N
B1	KI17aFMD074	PaxC	UNKNOWN	SYBR	None	18.6551	18.6217	0.0472				false	0.01	true	3	16		N	N	N
B2	KI17aFMD074	PaxC	UNKNOWN	SYBR	None	18.5883	18.6217	0.0472				false	0.01	true	3	14		N	N	N
B3	KI17aFMD074	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	Y	Y
B3	KI17aFMD074	D	UNKNOWN	FAM	NFQ-MGB	22.8397	22.8813	0.0589				false	0.01	true	3	22		N	Y	Y
