* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = E:\KIPlaty\KIPlaty_plate1.eds
* Experiment Run End Time = 2017-11-16 16:15:54 PM EST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	CT	CT Mean	CT SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	AMPNC	HIGHSD	NOAMP	EXPFAIL
A1																		N	N	N	N
A2	NTC	PaxC	NTC	SYBR	None	33.33						false	0.01	true	3	33		Y	N	N	N
A3	NEC483	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
A3	NEC483	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
A4	NEC483	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
A4	NEC483	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
A5	KI16bFMD031	PaxC	UNKNOWN	SYBR	None	18.1323	18.1725	0.0569				false	0.01	true	3	14		N	N	N	N
A6	KI16bFMD031	PaxC	UNKNOWN	SYBR	None	18.2128	18.1725	0.0569				false	0.01	true	3	14		N	N	N	N
A7	KI16bFMD031	C	UNKNOWN	VIC	NFQ-MGB	36.2016	32.7133	4.9331				false	0.01	true	3	39		N	Y	N	Y
A7	KI16bFMD031	D	UNKNOWN	FAM	NFQ-MGB	23.4019	23.411	0.0129				false	0.01	true	3	22		N	Y	N	Y
A8	KI16bFMD031	C	UNKNOWN	VIC	NFQ-MGB	29.2251	32.7133	4.9331				false	0.01	true	3	26		N	Y	N	N
A8	KI16bFMD031	D	UNKNOWN	FAM	NFQ-MGB	23.4201	23.411	0.0129				false	0.01	true	3	22		N	Y	N	N
A9	NEC483	PaxC	UNKNOWN	SYBR	None	32.0775	34.2625	3.09				false	0.01	true	3	32		N	Y	N	N
A10	NEC483	PaxC	UNKNOWN	SYBR	None	36.4475	34.2625	3.09				false	0.01	true	3	36		N	Y	N	Y
A11	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	N
A11	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	N
A12																		N	N	N	N
B1	KI16bFMD034	PaxC	UNKNOWN	SYBR	None	18.9158	19.0518	0.1922				false	0.01	true	3	17		N	N	N	N
B2	KI16bFMD034	PaxC	UNKNOWN	SYBR	None	19.1877	19.0518	0.1922				false	0.01	true	3	17		N	N	N	N
B3	KI16bFMD034	C	UNKNOWN	VIC	NFQ-MGB	34.9032	34.9032					false	0.01	true	3	35		N	N	N	N
B3	KI16bFMD034	D	UNKNOWN	FAM	NFQ-MGB	23.188	23.1756	0.0176				false	0.01	true	3	22		N	N	N	N
B4	KI16bFMD034	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	34.9032					false	0.01	true	3	39		N	N	Y	Y
B4	KI16bFMD034	D	UNKNOWN	FAM	NFQ-MGB	23.1631	23.1756	0.0176				false	0.01	true	3	22		N	N	Y	Y
B5	KI16bFMD038	PaxC	UNKNOWN	SYBR	None	11.6905	11.9112	0.3122				false	0.01	true	3	34		N	N	N	N
B6	KI16bFMD038	PaxC	UNKNOWN	SYBR	None	12.132	11.9112	0.3122				false	0.01	true	3	35		N	N	N	N
B7	KI16bFMD038	C	UNKNOWN	VIC	NFQ-MGB	35.0226	35.3698	0.491				false	0.01	true	3	39		N	N	N	Y
B7	KI16bFMD038	D	UNKNOWN	FAM	NFQ-MGB	25.0195	25.0044	0.0214				false	0.01	true	3	24		N	N	N	Y
B8	KI16bFMD038	C	UNKNOWN	VIC	NFQ-MGB	35.717	35.3698	0.491				false	0.01	true	3	38		N	N	N	Y
B8	KI16bFMD038	D	UNKNOWN	FAM	NFQ-MGB	24.9893	25.0044	0.0214				false	0.01	true	3	24		N	N	N	Y
B9	KI16aFMD024	PaxC	UNKNOWN	SYBR	None	20.1188	20.0958	0.0326				false	0.01	true	3	18		N	N	N	N
B10	KI16aFMD024	PaxC	UNKNOWN	SYBR	None	20.0727	20.0958	0.0326				false	0.01	true	3	19		N	N	N	N
B11	KI16aFMD024	C	UNKNOWN	VIC	NFQ-MGB	35.3894	32.6213	3.9147				false	0.01	true	3	39		N	Y	N	Y
B11	KI16aFMD024	D	UNKNOWN	FAM	NFQ-MGB	24.3829	24.5838	0.2842				false	0.01	true	3	23		N	Y	N	Y
B12	KI16aFMD024	C	UNKNOWN	VIC	NFQ-MGB	29.8532	32.6213	3.9147				false	0.01	true	3	28		N	Y	N	N
B12	KI16aFMD024	D	UNKNOWN	FAM	NFQ-MGB	24.7847	24.5838	0.2842				false	0.01	true	3	24		N	Y	N	N
C1	KI15cFMD114	PaxC	UNKNOWN	SYBR	None	19.7203	19.806	0.1212				false	0.01	true	3	17		N	N	N	N
C2	KI15cFMD114	PaxC	UNKNOWN	SYBR	None	19.8917	19.806	0.1212				false	0.01	true	3	17		N	N	N	N
C3	KI15cFMD114	C	UNKNOWN	VIC	NFQ-MGB	27.6413	27.637	0.0062				false	0.01	true	3	27		N	N	N	Y
C3	KI15cFMD114	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	Y
C4	KI15cFMD114	C	UNKNOWN	VIC	NFQ-MGB	27.6326	27.637	0.0062				false	0.01	true	3	27		N	N	Y	Y
C4	KI15cFMD114	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
C5	KI15bFMD320	PaxC	UNKNOWN	SYBR	None	4.9442	4.9442					false	0.01	true	1	3		N	N	N	N
C6	KI15bFMD320	PaxC	UNKNOWN	SYBR	None	Undetermined	4.9442					false	0.01	true	3	39		N	N	N	Y
C7	KI15bFMD320	C	UNKNOWN	VIC	NFQ-MGB	28.8316	28.7936	0.0537				false	0.01	true	3	28		N	N	Y	Y
C7	KI15bFMD320	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
C8	KI15bFMD320	C	UNKNOWN	VIC	NFQ-MGB	28.7556	28.7936	0.0537				false	0.01	true	3	28		N	N	Y	Y
C8	KI15bFMD320	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
C9	KI15cFMD065	PaxC	UNKNOWN	SYBR	None	18.9999	19.2476	0.3502				false	0.01	true	3	17		N	N	N	N
C10	KI15cFMD065	PaxC	UNKNOWN	SYBR	None	19.4953	19.2476	0.3502				false	0.01	true	3	18		N	N	N	N
C11	KI15cFMD065	C	UNKNOWN	VIC	NFQ-MGB	37.0847	34.0284	4.3223				false	0.01	true	3	39		N	Y	N	Y
C11	KI15cFMD065	D	UNKNOWN	FAM	NFQ-MGB	26.0436	25.1548	1.257				false	0.01	true	3	25		N	Y	N	Y
C12	KI15cFMD065	C	UNKNOWN	VIC	NFQ-MGB	30.972	34.0284	4.3223				false	0.01	true	3	33		N	Y	N	N
C12	KI15cFMD065	D	UNKNOWN	FAM	NFQ-MGB	24.266	25.1548	1.257				false	0.01	true	3	23		N	Y	N	N
D1	KI16aFMD062	PaxC	UNKNOWN	SYBR	None	17.5831	17.626	0.0608				false	0.01	true	3	15		N	N	N	N
D2	KI16aFMD062	PaxC	UNKNOWN	SYBR	None	17.669	17.626	0.0608				false	0.01	true	3	15		N	N	N	N
D3	KI16aFMD062	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
D3	KI16aFMD062	D	UNKNOWN	FAM	NFQ-MGB	23.4292	23.4191	0.0142				false	0.01	true	3	22		N	N	Y	Y
D4	KI16aFMD062	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
D4	KI16aFMD062	D	UNKNOWN	FAM	NFQ-MGB	23.409	23.4191	0.0142				false	0.01	true	3	22		N	N	Y	Y
D5	KI15bFMD316	PaxC	UNKNOWN	SYBR	None	20.7138	20.725	0.0159				false	0.01	true	3	19		N	N	N	N
D6	KI15bFMD316	PaxC	UNKNOWN	SYBR	None	20.7362	20.725	0.0159				false	0.01	true	3	19		N	N	N	N
D7	KI15bFMD316	C	UNKNOWN	VIC	NFQ-MGB	24.5138	24.5794	0.0928				false	0.01	true	3	24		N	N	Y	Y
D7	KI15bFMD316	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
D8	KI15bFMD316	C	UNKNOWN	VIC	NFQ-MGB	24.645	24.5794	0.0928				false	0.01	true	3	24		N	N	Y	Y
D8	KI15bFMD316	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
D9	KI16aFMD038	PaxC	UNKNOWN	SYBR	None	19.7393	19.8087	0.0982				false	0.01	true	3	16		N	N	N	N
D10	KI16aFMD038	PaxC	UNKNOWN	SYBR	None	19.8781	19.8087	0.0982				false	0.01	true	3	16		N	N	N	N
D11	KI16aFMD038	C	UNKNOWN	VIC	NFQ-MGB	36.5044	35.7969	1.0005				false	0.01	true	3	39		N	Y	N	Y
D11	KI16aFMD038	D	UNKNOWN	FAM	NFQ-MGB	25.1024	25.2539	0.2143				false	0.01	true	3	24		N	Y	N	Y
D12	KI16aFMD038	C	UNKNOWN	VIC	NFQ-MGB	35.0895	35.7969	1.0005				false	0.01	true	3	39		N	Y	N	Y
D12	KI16aFMD038	D	UNKNOWN	FAM	NFQ-MGB	25.4055	25.2539	0.2143				false	0.01	true	3	24		N	Y	N	Y
E1	KI16aFMD033	PaxC	UNKNOWN	SYBR	None	Undetermined						false	0.01	true	3	39		N	N	N	Y
E2	KI16aFMD033	PaxC	UNKNOWN	SYBR	None	Undetermined						false	0.01	true	3	39		N	N	N	Y
E3	KI16aFMD033	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	Y	Y	Y
E3	KI16aFMD033	D	UNKNOWN	FAM	NFQ-MGB	32.872	32.4478	0.5999				false	0.01	true	3	32		N	Y	Y	Y
E4	KI16aFMD033	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	Y	Y	Y
E4	KI16aFMD033	D	UNKNOWN	FAM	NFQ-MGB	32.0236	32.4478	0.5999				false	0.01	true	3	31		N	Y	Y	Y
E5	KI15bFMD245	PaxC	UNKNOWN	SYBR	None	26.5923	26.7189	0.1791				false	0.01	true	3	25		N	N	N	N
E6	KI15bFMD245	PaxC	UNKNOWN	SYBR	None	26.8456	26.7189	0.1791				false	0.01	true	3	26		N	N	N	N
E7	KI15bFMD245	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	38.6012					false	0.01	true	3	39		N	N	Y	Y
E7	KI15bFMD245	D	UNKNOWN	FAM	NFQ-MGB	24.8803	24.8052	0.1062				false	0.01	true	3	24		N	N	Y	Y
E8	KI15bFMD245	C	UNKNOWN	VIC	NFQ-MGB	38.6012	38.6012					false	0.01	true	3	39		N	N	N	Y
