* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = E:\KIPlaty\KIPlaty_plate6.eds
* Experiment Run End Time = 2017-11-17 14:03:51 PM EST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	CT	CT Mean	CT SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	AMPNC	HIGHSD	NOAMP	EXPFAIL
A1																		N	N	N	N
A2	NTC	PaxC	NTC	SYBR	None	30.246						false	0.01	true	3	29		Y	N	N	N
A3	NEC488	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
A3	NEC488	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
A4	NEC488	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
A4	NEC488	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
A5	KI15bFQ164	PaxC	UNKNOWN	SYBR	None	17.3274	17.3018	0.0362				false	0.01	false	8	16		N	N	N	N
A6	KI15bFQ164	PaxC	UNKNOWN	SYBR	None	17.2762	17.3018	0.0362				false	0.01	false	8	16		N	N	N	N
A7	KI15bFQ164	C	UNKNOWN	VIC	NFQ-MGB	23.5211	23.5758	0.0774				false	0.01	true	3	23		N	N	N	Y
A7	KI15bFQ164	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	Y
A8	KI15bFQ164	C	UNKNOWN	VIC	NFQ-MGB	23.6306	23.5758	0.0774				false	0.01	true	3	23		N	N	N	Y
A8	KI15bFQ164	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	Y
A9	NEC488	PaxC	UNKNOWN	SYBR	None	36.1802	22.6252	19.1697				false	0.01	true	3	35		N	Y	N	N
A10	NEC488	PaxC	UNKNOWN	SYBR	None	9.0702	22.6252	19.1697				false	0.01	true	3	37		N	Y	N	Y
A11	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	N
A11	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	N
A12																		N	N	N	N
B1	KI15aFQ043	PaxC	UNKNOWN	SYBR	None	18.8859	18.6596	0.32				false	0.01	true	3	12		N	N	N	N
B2	KI15aFQ043	PaxC	UNKNOWN	SYBR	None	18.4333	18.6596	0.32				false	0.01	false	3	12		N	N	N	N
B3	KI15aFQ043	C	UNKNOWN	VIC	NFQ-MGB	23.7123	23.8123	0.1415				false	0.01	true	3	23		N	N	Y	Y
B3	KI15aFQ043	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
B4	KI15aFQ043	C	UNKNOWN	VIC	NFQ-MGB	23.9124	23.8123	0.1415				false	0.01	true	3	23		N	N	Y	Y
B4	KI15aFQ043	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
B5	KI15aFQ052	PaxC	UNKNOWN	SYBR	None	30.0599	30.8915	1.176				false	0.01	true	3	29		N	Y	N	N
B6	KI15aFQ052	PaxC	UNKNOWN	SYBR	None	31.723	30.8915	1.176				false	0.01	true	3	31		N	Y	N	N
B7	KI15aFQ052	C	UNKNOWN	VIC	NFQ-MGB	26.3671	26.5426	0.2482				false	0.01	true	3	25		N	N	Y	Y
B7	KI15aFQ052	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	36.7624					false	0.01	true	3	39		N	N	Y	Y
B8	KI15aFQ052	C	UNKNOWN	VIC	NFQ-MGB	26.7182	26.5426	0.2482				false	0.01	true	3	25		N	N	N	N
B8	KI15aFQ052	D	UNKNOWN	FAM	NFQ-MGB	36.7624	36.7624					false	0.01	true	3	35		N	N	N	N
B9	KI17aFMD087	PaxC	UNKNOWN	SYBR	None	18.7654	19.1586	0.5561				false	0.01	true	3	18		N	Y	N	N
B10	KI17aFMD087	PaxC	UNKNOWN	SYBR	None	19.5518	19.1586	0.5561				false	0.01	true	3	18		N	Y	N	N
B11	KI17aFMD087	C	UNKNOWN	VIC	NFQ-MGB	31.8721	31.522	0.4951				false	0.01	true	3	29		N	N	N	N
B11	KI17aFMD087	D	UNKNOWN	FAM	NFQ-MGB	25.2246	25.5759	0.4967				false	0.01	true	3	24		N	N	N	N
B12	KI17aFMD087	C	UNKNOWN	VIC	NFQ-MGB	31.1719	31.522	0.4951				false	0.01	true	3	30		N	N	N	N
B12	KI17aFMD087	D	UNKNOWN	FAM	NFQ-MGB	25.9271	25.5759	0.4967				false	0.01	true	3	25		N	N	N	N
C1	KI17aFMD270	PaxC	UNKNOWN	SYBR	None	17.7748	17.5053	0.3811				false	0.01	false	3	15		N	N	N	N
C2	KI17aFMD270	PaxC	UNKNOWN	SYBR	None	17.2358	17.5053	0.3811				false	0.01	false	3	15		N	N	N	N
C3	KI17aFMD270	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
C3	KI17aFMD270	D	UNKNOWN	FAM	NFQ-MGB	23.8923	23.6161	0.3906				false	0.01	true	3	23		N	N	Y	Y
C4	KI17aFMD270	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
C4	KI17aFMD270	D	UNKNOWN	FAM	NFQ-MGB	23.3398	23.6161	0.3906				false	0.01	true	3	22		N	N	Y	Y
C5	KI14FQ292	PaxC	UNKNOWN	SYBR	None	30.257	29.5602	0.9854				false	0.01	true	3	30		N	Y	N	N
C6	KI14FQ292	PaxC	UNKNOWN	SYBR	None	28.8634	29.5602	0.9854				false	0.01	true	3	27		N	Y	N	N
C7	KI14FQ292	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	37.53					false	0.01	true	3	39		N	N	Y	Y
C7	KI14FQ292	D	UNKNOWN	FAM	NFQ-MGB	30.1869	30.0859	0.1429				false	0.01	true	3	29		N	N	Y	Y
C8	KI14FQ292	C	UNKNOWN	VIC	NFQ-MGB	37.53	37.53					false	0.01	true	3	39		N	N	N	Y
C8	KI14FQ292	D	UNKNOWN	FAM	NFQ-MGB	29.9849	30.0859	0.1429				false	0.01	true	3	29		N	N	N	Y
C9	KI15bFQ234	PaxC	UNKNOWN	SYBR	None	28.9044	29.2402	0.4749				false	0.01	true	3	26		N	N	N	N
C10	KI15bFQ234	PaxC	UNKNOWN	SYBR	None	29.576	29.2402	0.4749				false	0.01	true	3	28		N	N	N	N
C11	KI15bFQ234	C	UNKNOWN	VIC	NFQ-MGB	30.0752	30.3276	0.3569				false	0.01	true	3	29		N	N	Y	Y
C11	KI15bFQ234	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
C12	KI15bFQ234	C	UNKNOWN	VIC	NFQ-MGB	30.58	30.3276	0.3569				false	0.01	true	3	30		N	N	N	Y
C12	KI15bFQ234	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	Y
D1	KI17aFMD010	PaxC	UNKNOWN	SYBR	None	18.1706	17.9418	0.3237				false	0.01	true	3	13		N	N	N	N
D2	KI17aFMD010	PaxC	UNKNOWN	SYBR	None	17.7129	17.9418	0.3237				false	0.01	true	3	13		N	N	N	N
D3	KI17aFMD010	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
D3	KI17aFMD010	D	UNKNOWN	FAM	NFQ-MGB	22.3354	22.5072	0.243				false	0.01	true	3	21		N	N	Y	Y
D4	KI17aFMD010	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
