* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = E:\KIPlaty\KIPlaty_plate7.eds
* Experiment Run End Time = 2017-11-17 15:37:53 PM EST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	CT	CT Mean	CT SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	AMPNC	HIGHSD	NOAMP	EXPFAIL
A1																		N	N	N	N
A2	NTC	PaxC	NTC	SYBR	None	31.8365	35.0363	4.5253				false	0.01	true	3	31		Y	Y	N	N
A3	KI16aFMD047	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	29.3336					false	0.01	true	3	39		N	N	Y	Y
A3	KI16aFMD047	D	UNKNOWN	FAM	NFQ-MGB	24.0269	23.8634	0.2313				false	0.01	true	3	23		N	N	Y	Y
A4	KI16aFMD047	C	UNKNOWN	VIC	NFQ-MGB	29.3336	29.3336					false	0.01	true	3	27		N	N	N	N
A4	KI16aFMD047	D	UNKNOWN	FAM	NFQ-MGB	23.6998	23.8634	0.2313				false	0.01	true	3	22		N	N	N	N
A5	KI15bFQ243	PaxC	UNKNOWN	SYBR	None	32.6802	31.6332	1.4807				false	0.01	true	3	31		N	Y	N	N
A6	KI15bFQ243	PaxC	UNKNOWN	SYBR	None	30.5862	31.6332	1.4807				false	0.01	true	3	30		N	Y	N	N
A7	KI15bFQ243	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	38.0486					false	0.01	true	3	39		N	N	Y	Y
A7	KI15bFQ243	D	UNKNOWN	FAM	NFQ-MGB	31.8792	31.9404	0.0866				false	0.01	true	3	31		N	N	Y	Y
A8	KI15bFQ243	C	UNKNOWN	VIC	NFQ-MGB	38.0486	38.0486					false	0.01	true	3	34		N	N	Y	N
A8	KI15bFQ243	D	UNKNOWN	FAM	NFQ-MGB	32.0017	31.9404	0.0866				false	0.01	true	3	31		N	N	Y	N
A9	KI16aFMD047	PaxC	UNKNOWN	SYBR	None	18.014	18.0018	0.0172				false	0.01	true	3	15		N	N	N	N
A10	KI16aFMD047	PaxC	UNKNOWN	SYBR	None	17.9896	18.0018	0.0172				false	0.01	true	3	16		N	N	N	N
A11	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	N
A11	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	N
A12																		N	N	N	N
B1	KI15aFQ113	PaxC	UNKNOWN	SYBR	None	31.9714	33.3688	1.9761				false	0.01	true	3	31		N	Y	N	N
B2	KI15aFQ113	PaxC	UNKNOWN	SYBR	None	34.7661	33.3688	1.9761				false	0.01	true	3	34		N	Y	N	N
B3	KI15aFQ113	C	UNKNOWN	VIC	NFQ-MGB	31.4626	31.5729	0.156				false	0.01	true	3	31		N	N	Y	Y
B3	KI15aFQ113	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
B4	KI15aFQ113	C	UNKNOWN	VIC	NFQ-MGB	31.6832	31.5729	0.156				false	0.01	true	3	31		N	N	Y	Y
B4	KI15aFQ113	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
B5	KI14FQ266	PaxC	UNKNOWN	SYBR	None	33.5979	33.5309	0.0948				false	0.01	true	3	31		N	N	N	N
B6	KI14FQ266	PaxC	UNKNOWN	SYBR	None	33.4639	33.5309	0.0948				false	0.01	true	3	31		N	N	N	N
B7	KI14FQ266	C	UNKNOWN	VIC	NFQ-MGB	39.2606	39.2606					false	0.01	true	3	39		N	N	Y	Y
B7	KI14FQ266	D	UNKNOWN	FAM	NFQ-MGB	34.5515	34.5515					false	0.01	true	3	34		N	N	Y	Y
B8	KI14FQ266	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	39.2606					false	0.01	true	3	39		N	N	Y	Y
B8	KI14FQ266	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	34.5515					false	0.01	true	3	39		N	N	Y	Y
B9	KI15aFQ097	PaxC	UNKNOWN	SYBR	None	31.6124	32.8938	1.8121				false	0.01	true	3	32		N	Y	N	N
B10	KI15aFQ097	PaxC	UNKNOWN	SYBR	None	34.1751	32.8938	1.8121				false	0.01	true	3	34		N	Y	N	N
B11	KI15aFQ097	C	UNKNOWN	VIC	NFQ-MGB	28.9592	29.2886	0.4657				false	0.01	true	3	28		N	N	Y	Y
B11	KI15aFQ097	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y	Y
B12	KI15aFQ097	C	UNKNOWN	VIC	NFQ-MGB	29.6179	29.2886	0.4657				false	0.01	true	3	28		N	N	N	Y
B12	KI15aFQ097	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	Y
C1	KI14FQ286	PaxC	UNKNOWN	SYBR	None	31.5337	35.2859	5.3063				false	0.01	true	3	31		N	Y	N	N
C2	KI14FQ286	PaxC	UNKNOWN	SYBR	None	39.038	35.2859	5.3063				false	0.01	true	3	35		N	Y	N	N
C3	KI14FQ286	C	UNKNOWN	VIC	NFQ-MGB	28.5103	28.4282	0.1161				false	0.01	true	3	28		N	Y	N	N
C3	KI14FQ286	D	UNKNOWN	FAM	NFQ-MGB	27.9128	28.2811	0.5209				false	0.01	true	3	27		N	Y	N	N
C4	KI14FQ286	C	UNKNOWN	VIC	NFQ-MGB	28.3461	28.4282	0.1161				false	0.01	true	3	28		N	Y	N	N
