* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = E:\KIPlaty\KIPlaty_plate0.eds
* Experiment Run End Time = 2017-11-10 18:45:35 PM EST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	CT	CT Mean	CT SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	AMPNC	BADROX	HIGHSD	NOAMP	NOISE	NOSIGNAL	EXPFAIL
A1																		N	N	N	N	N	N	N
A2																		N	N	N	N	N	N	N
A3																		N	N	N	N	N	N	N
A4																		N	N	N	N	N	N	N
A5																		N	N	N	N	N	N	N
A6																		N	N	N	N	N	N	N
A7																		N	N	N	N	N	N	N
A8																		N	N	N	N	N	N	N
A9																		N	N	N	N	N	N	N
A10																		N	N	N	N	N	N	N
A11																		N	N	N	N	N	N	N
A12																		N	N	N	N	N	N	N
B1	KI15cFMD468	PaxC	UNKNOWN	SYBR	None	17.9199	17.8274	0.1308				false	0.01	true	3	16		N	N	N	N	N	N	N
B2	KI15cFMD468	PaxC	UNKNOWN	SYBR	None	17.7349	17.8274	0.1308				false	0.01	true	3	15		N	N	N	N	N	N	N
B3	KI15cFMD468	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	Y	N	N	Y
B3	KI15cFMD468	D	UNKNOWN	FAM	NFQ-MGB	23.3064	23.3101	0.0052				false	0.01	true	3	22		N	N	N	Y	N	N	Y
B4	KI15cFMD468	C	UNKNOWN	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N	Y	N	N	Y
B4	KI15cFMD468	D	UNKNOWN	FAM	NFQ-MGB	23.3139	23.3101	0.0052				false	0.01	true	3	22		N	N	N	Y	N	N	Y
B5	KI15cFMD018	PaxC	UNKNOWN	SYBR	None	18.7673	18.0837	0.9667				false	0.01	true	3	7		N	N	Y	N	N	N	N
B6	KI15cFMD018	PaxC	UNKNOWN	SYBR	None	17.4002	18.0837	0.9667				false	0.01	true	3	14		N	N	Y	N	N	N	N
B7	KI15cFMD018	C	UNKNOWN	VIC	NFQ-MGB	27.3006	27.4158	0.163				false	0.01	true	3	27		N	N	N	N	N	N	N
B7	KI15cFMD018	D	UNKNOWN	FAM	NFQ-MGB	34.8467	34.8467					false	0.01	true	3	34		N	N	N	N	N	N	N
B8	KI15cFMD018	C	UNKNOWN	VIC	NFQ-MGB	27.531	27.4158	0.163				false	0.01	true	3	27		N	N	N	Y	N	N	Y
B8	KI15cFMD018	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	34.8467					false	0.01	true	3	39		N	N	N	Y	N	N	Y
B9	KI16aFMD116	PaxC	UNKNOWN	SYBR	None	17.4303	17.1983	0.3282				false	0.01	true	3	16		N	N	N	N	N	N	N
B10	KI16aFMD116	PaxC	UNKNOWN	SYBR	None	16.9662	17.1983	0.3282				false	0.01	true	3	14		N	N	N	N	N	N	N
B11	KI16aFMD116	C	UNKNOWN	VIC	NFQ-MGB	34.3832	33.0173	1.9316				false	0.01	true	3	39		N	N	Y	N	N	N	Y
B11	KI16aFMD116	D	UNKNOWN	FAM	NFQ-MGB	24.1246	24.2426	0.167				false	0.01	true	3	23		N	N	Y	N	N	N	Y
B12	KI16aFMD116	C	UNKNOWN	VIC	NFQ-MGB	31.6515	33.0173	1.9316				false	0.01	true	3	34		N	N	Y	N	N	N	N
B12	KI16aFMD116	D	UNKNOWN	FAM	NFQ-MGB	24.3607	24.2426	0.167				false	0.01	true	3	23		N	N	Y	N	N	N	N
C1																		N	N	N	N	N	N	N
C2																		N	N	N	N	N	N	N
C3																		N	N	N	N	N	N	N
C4																		N	N	N	N	N	N	N
C5																		N	N	N	N	N	N	N
C6																		N	N	N	N	N	N	N
C7																		N	N	N	N	N	N	N
C8																		N	N	N	N	N	N	N
C9	KI16aFMD049	PaxC	UNKNOWN	SYBR	None	19.6094	19.387	0.3145				false	0.01	true	3	18		N	N	N	N	N	N	N
C10	KI16aFMD049	PaxC	UNKNOWN	SYBR	None	19.1646	19.387	0.3145				false	0.01	true	3	19		N	N	N	N	N	N	N
C11	KI16aFMD049	C	UNKNOWN	VIC	NFQ-MGB	38.6549	34.6096	5.721				false	0.01	true	3	39		N	N	Y	N	N	N	Y
C11	KI16aFMD049	D	UNKNOWN	FAM	NFQ-MGB	25.3392	25.428	0.1255				false	0.01	true	3	24		N	N	Y	N	N	N	Y
C12	KI16aFMD049	C	UNKNOWN	VIC	NFQ-MGB	30.5642	34.6096	5.721				false	0.01	true	3	28		N	N	Y	N	N	N	N
C12	KI16aFMD049	D	UNKNOWN	FAM	NFQ-MGB	25.5167	25.428	0.1255				false	0.01	true	3	24		N	N	Y	N	N	N	N
D1	KI15cFMD488	PaxC	UNKNOWN	SYBR	None	17.93	17.7754	0.2187				false	0.01	true	3	16		N	N	N	N	N	N	N
D2	KI15cFMD488	PaxC	UNKNOWN	SYBR	None	17.6207	17.7754	0.2187				false	0.01	true	3	15		N	N	N	N	N	N	N
D3	KI15cFMD488	C	UNKNOWN	VIC	NFQ-MGB	29.524	29.5843	0.0852				false	0.01	true	3	29		N	N	N	N	N	N	N
D3	KI15cFMD488	D	UNKNOWN	FAM	NFQ-MGB	33.5523	33.5523					false	0.01	true	3	33		N	N	N	N	N	N	N
D4	KI15cFMD488	C	UNKNOWN	VIC	NFQ-MGB	29.6445	29.5843	0.0852				false	0.01	true	3	28		N	N	N	Y	N	N	Y
D4	KI15cFMD488	D	UNKNOWN	FAM	NFQ-MGB	Undetermined	33.5523					false	0.01	true	3	39		N	N	N	Y	N	N	Y
D5	KI15cFMD254	PaxC	UNKNOWN	SYBR	None	17.4617	17.603	0.1999				false	0.01	true	3	15		N	N	N	N	N	N	N
D6	KI15cFMD254	PaxC	UNKNOWN	SYBR	None	17.7444	17.603	0.1999				false	0.01	true	3	14		N	N	N	N	N	N	N
D7	KI15cFMD254	C	UNKNOWN	VIC	NFQ-MGB	24.4141	24.4364	0.0314				false	0.01	true	3	24		N	N	N	N	N	N	N
