* Block Type = 96well
* Chemistry = SYBR_GREEN
* Experiment File Name = E:\KIPlaty\KIPlaty_plate2.eds
* Experiment Run End Time = 2017-11-16 18:28:47 PM EST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	CT	CT Mean	CT SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD	NOAMP	EXPFAIL
A1																		N	N	N
A2	NTC	PaxC	NTC	SYBR	None	Undetermined						false	0.01	true	3	39		N	N	N
A3	KI15bFMD293	C	UNKNOWN	VIC	NFQ-MGB	25.2736	25.2741	0.0008				false	0.01	true	3	24		N	N	Y
A3	KI15bFMD293	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y
A4	KI15bFMD293	C	UNKNOWN	VIC	NFQ-MGB	25.2747	25.2741	0.0008				false	0.01	true	3	25		N	N	Y
A4	KI15bFMD293	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y
A5	KI15cFMD129	PaxC	UNKNOWN	SYBR	None	18.7325	18.7604	0.0394				false	0.01	true	3	14		N	N	N
A6	KI15cFMD129	PaxC	UNKNOWN	SYBR	None	18.7883	18.7604	0.0394				false	0.01	true	3	15		N	N	N
A7	KI15cFMD129	C	UNKNOWN	VIC	NFQ-MGB	29.5574	29.5515	0.0083				false	0.01	true	3	29		N	N	Y
A7	KI15cFMD129	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y
A8	KI15cFMD129	C	UNKNOWN	VIC	NFQ-MGB	29.5457	29.5515	0.0083				false	0.01	true	3	29		N	N	Y
A8	KI15cFMD129	D	UNKNOWN	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	Y
A9	KI15bFMD293	PaxC	UNKNOWN	SYBR	None	21.668	21.6272	0.0578				false	0.01	true	3	18		N	N	N
A10	KI15bFMD293	PaxC	UNKNOWN	SYBR	None	21.5864	21.6272	0.0578				false	0.01	true	3	18		N	N	N
A11	NTC	C	NTC	VIC	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N
A11	NTC	D	NTC	FAM	NFQ-MGB	Undetermined						false	0.01	true	3	39		N	N	N
A12																		N	N	N
B1	KI15bFMD188	PaxC	UNKNOWN	SYBR	None	32.5759	33.2926	1.0136				false	0.01	true	3	30		Y	N	N
B2	KI15bFMD188	PaxC	UNKNOWN	SYBR	None	34.0093	33.2926	1.0136				false	0.01	true	3	32		Y	N	N
B3	KI15bFMD188	C	UNKNOWN	VIC	NFQ-MGB	39.988	39.988					false	0.01	true	3	39		N	Y	Y
B3	KI15bFMD188	D	UNKNOWN	FAM	NFQ-MGB	26.2359	26.2989	0.0891				false	0.01	true	3	25		N	Y	Y
B4	KI15bFMD188	C	UNKNOWN	VIC	NFQ-MGB	Undetermined	39.988					false	0.01	true	3	39		N	Y	Y
