Tag #,Site ,Disturbance_Level,Coral species,2014,2015a_pre,2015a_post,2015b,2015c,2016a,2016b,2017,2018,2019,2014,2015a_pre,2015a_post,2015b
1_1425,35,MED,Porites lobata,compartment,compartment,compartment,compartment,bleaching2,bleaching2,bleaching2,2017samples,NA,sampled,1,1,1,1
2_572,35,MED,Montipora foliosa,compartment,compartment,compartment,compartment,NA,NA,NA,NA,NA,NA,1,1,1,1
3,35,MED,Pocillopora eydouxi,compartment,compartment,compartment,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,1,1,1
4,35,MED,Favites pentagona,platy,NA,NA,platy,platy,gone,NA,NA,NA,NA,1,NA,NA,1
4b,35,MED,Favites sp,NA,platy,platy,NA,NA,gone,NA,NA,NA,NA,NA,1,1,NA
5_1422,35,MED,Porites lobata,compartment,NA,compartment,compartment,bleaching2,bleaching2,bleaching2,2017samples,NA,sampled,1,NA,1,1
5b,35,MED,Pocillopora eydouxi,NA,compartment,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
6,35,MED,Acropora sp,sampled_skip_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_sp,NA,NA,NA
6b,35,MED,Porites lobata,NA,compartment,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
7,35,MED,Montipora foliosa,compartment,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
7b,35,MED,Montipora foliosa,NA,compartment,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
8,35,MED,Porites lobata,compartment,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
8b_935,35,MED,Porites lobata,NA,NA,compartment,compartment,NA,bleaching2,bleaching2,2017samples,sampled,sampled,NA,NA,1,1
9,35,MED,Pocillopora eydouxi,compartment,compartment,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
10,35,MED,Montipora foliosa,symbio_micro,NA,gone,NA,NA,NA,NA,NA,NA,NA,1,NA,gone,NA
10b,35,MED,Porites lobata,NA,compartment,gone,NA,NA,NA,NA,NA,NA,NA,NA,1,gone,NA
11_633,35,MED,Favia matthai,bleaching3_2018run,NA,bleaching3_2018run,bleaching3_2018run,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,1,1
12_635,35,MED,Porites lobata,compartment,NA,compartment,compartment,sampled,gone,NA,NA,NA,NA,1,NA,1,1
13,35,MED,Pocillopora eydouxi,compartment,NA,compartment,compartment,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,1,1
14,35,MED,Montipora foliosa,symbio_micro,compartment,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
15,35,MED,Porites lobata,compartment,NA,compartment,compartment,bleaching2,bleaching2,NA,NA,NA,NA,1,NA,1,1
16,38,LOW,Porites lobata,symbio_micro,NA,NA,NA,sampled,NA,NA,NA,NA,NA,1,NA,NA,NA
17,38,LOW,Favia matthai,bleaching3_2018run,NA,NA,NA,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,NA
18,38,LOW,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
19,38,LOW,Platygyra sp,platy,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
20,38,LOW,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,*Barely Alive,NA,1,NA,NA,NA
21,38,LOW,Montipora foliosa,symbio_micro,NA,NA,NA,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,NA
22,38,LOW,Porites lobata,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
23,38,LOW,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
24,38,LOW,Favia matthai,bleaching3_2018run,NA,NA,NA,bleaching3_2018run,barely alive,NA,NA,NA,NA,1,NA,NA,NA
25,38,LOW,Porites lobata,symbio_micro,NA,NA,NA,sampled,NA,NA,NA,* Confirmed dead,NA,1,NA,NA,NA
26,38,LOW,Montipora foliosa,symbio_micro,NA,NA,NA,bleaching3_2018run,NA,NA,NA,NA,NA,1,NA,NA,NA
27,38,LOW,Porites lobata,symbio_micro,NA,NA,NA,sampled,NA,NA,NA,NA,NA,1,NA,NA,NA
28,38,LOW,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
29,38,LOW,Favites halicora,platy,NA,NA,NA,platy,platy,NA,barely alive,NA,NA,1,NA,NA,NA
30,38,LOW,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
31,38,LOW,Montipora foliosa,symbio_micro,NA,NA,NA,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,NA
32,38,LOW,Porites lobata,symbio_micro,NA,NA,NA,bleaching3_2018run,dead,NA,NA,NA,NA,1,NA,NA,NA
33,38,LOW,Montipora foliosa,symbio_micro,NA,NA,NA,sampled,NA,NA,NA,NA,NA,1,NA,NA,NA
34,38,LOW,Favites halicora,bleaching3_2018run,NA,NA,NA,bleaching3_2018run,NA,NA,NA,NA,NA,1,NA,NA,NA
35,38,LOW,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
36,38,LOW,Acropora sp,sampled_skip_sp,NA,NA,NA,NA,NA,NA,NA,NA,NA,sampled_skip_sp,NA,NA,NA
37,27,VERYHIGH,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
38,27,VERYHIGH,Montipora foliosa,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
39,27,VERYHIGH,Pocillopora eydouxi,symbio_micro,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
