otu	sim	del	ins	mis	len	score	hit
1	denovo1668	78.75	7	15	39	287	183.5	E100_DQ011618
2	denovo808	74.32	10	17	48	292	185.5	F2b_AJ291521
3	denovo2786	74.9	12	15	37	255	193	A112_AF184949
4	denovo739	70.59	16	13	46	255	201.5	A1a_EU449030
5	denovo520	69.57	13	19	80	368	205	D1.1_AM748564
6	denovo669	81.55	14	33	60	580	205	H6_AJ291520
7	denovo1586	75.51	14	13	45	294	209.5	F5.2g_JN558072
8	denovo2091	71.37	15	19	39	255	212.5	A106_AB207200
9	denovo2537	79	8	18	33	281	212.5	C1098_DQ182641
10	denovo2272	69.8	15	12	50	255	213	A1a_EU449030
11	denovo1998	78.19	6	24	52	376	213	D1.2_AM748617
12	denovo280	70.77	13	13	57	284	214.5	E109_EU074913
13	denovo1424	70.04	14	10	53	257	215	A2_AF333506
14	denovo1634	74.83	14	12	48	294	224	F5.2g_JN558072
15	denovo1714	72.11	13	13	56	294	225	F5.2e_AJ291533;F5.2g_JN558072
16	denovo2801	83.82	9	26	60	587	229	H6_AJ291520
17	denovo2078	75.93	14	12	45	295	231	F3.4_AM748570;F3.4a_AM748571
18	denovo2164	79.41	13	21	29	306	231.5	I4_FN561562
19	denovo377	75.09	5	17	49	285	233.5	E1_AF334659
20	denovo917	74.56	8	16	48	283	239	C33.1_AY258498
21	denovo1337	73.47	16	13	49	294	239.5	F5.2e_AJ291533
22	denovo2462	71.6	12	16	45	257	241.5	A4.3_FN429763
23	denovo2602	76.39	7	14	47	288	245	B14_AY239362
24	denovo1222	68.09	16	14	52	257	247	A133_DQ174725
25	denovo235	75.69	14	15	33	255	247.5	A1.4_HE578977
26	denovo2347	74.49	14	14	47	294	249.5	F5.1_AM748592
27	denovo780	80.75	15	28	70	587	251.5	H6_AJ291520
28	denovo1197	75.65	14	12	40	271	253	D124_EU074897
29	denovo1788	79.62	11	16	48	368	256	D1.1_AM748564
30	denovo766	78.99	11	21	47	376	256	D1.2_AM748617
31	denovo663	77.66	12	19	53	376	257.5	D1.2_AM748617
32	denovo512	83.45	12	27	57	580	258	H6_AJ291520
33	denovo1611	70.11	14	14	56	281	261	F4.1_AM748572
34	denovo1269	78.46	11	21	49	376	261	D1.2_AM748617
35	denovo2330	74.56	14	18	40	283	262.5	C1124_DQ335323
36	denovo2813	75.62	9	11	49	283	262.5	C35.1_AY765401
37	denovo2624	73.56	15	14	49	295	262.5	F3.4_AM748570
38	denovo665	79.08	10	17	50	368	263	D1.1_AM748564
39	denovo281	79.66	14	36	68	580	263	H6_AJ291520
40	denovo2224	72.86	10	16	50	280	264	C31.1_HQ630876
41	denovo196	74.15	20	18	53	352	264	D1.1_AM748564
42	denovo2054	76.6	17	24	47	376	264	D1.2_AM748617
43	denovo2408	79.35	13	18	45	368	264.5	D1.1_AM748564
44	denovo2625	77.63	12	23	33	304	265	F3.1_AM748565
45	denovo1068	73.37	15	23	60	368	265	D1.1_AM748564
46	denovo1945	85.86	9	30	44	587	270	H6_AJ291520
47	denovo2070	84.5	16	30	45	587	270.5	H6_AJ291520
48	denovo2785	73.22	7	13	59	295	271	F3.4_AM748570
49	denovo543	73.14	14	21	66	376	271	D1.2_AM748617
50	denovo1389	79.52	9	23	45	376	271.5	D1.2_AM748617
51	denovo75	76.06	10	20	60	376	271.5	D1.2_AM748617
52	denovo899	76.95	12	15	41	295	272	F3.4b_AM748616
53	denovo1236	74.38	15	21	47	324	272	C49_AY589754
54	denovo1075	72.28	16	19	44	285	274.5	E101_AY160123
55	denovo2451	75.17	10	13	50	294	275	F1_JN558066
56	denovo334	76.09	11	20	57	368	275.5	D1.1_AM748564
57	denovo1657	71.73	19	15	46	283	276	C78_AY765413
58	denovo883	78.99	13	22	44	376	276	D1.2_AM748617
59	denovo120	77.13	21	22	43	376	276.5	D1.2_AM748617
60	denovo2823	75.51	11	14	47	294	277	F1_JN558066
61	denovo653	82.59	10	32	59	580	277	H6_AJ291520
62	denovo2578	79.73	21	31	67	587	277	H6_AJ291520
63	denovo2632	69.57	23	11	57	299	277.5	F3.2a_AM748568
64	denovo2632	69.57	17	11	63	299	277.5	F3.2_AM748567
65	denovo353	71.77	9	19	55	294	278.5	F1_JN558066
66	denovo841	73.9	9	17	51	295	278.5	F3.4a_AM748571
67	denovo2341	70.77	15	12	56	284	280.5	F110_AJ291526
68	denovo1392	76.03	10	11	49	292	280.5	F2a_AJ830911
69	denovo2341	75.59	13	18	42	299	280.5	F3.2_AM748567
70	denovo2467	74.47	12	25	59	376	281	D1.2_AM748617
71	denovo2387	75.8	12	22	57	376	282	D1.2_AM748617
72	denovo1219	78.99	11	21	47	376	283	D1.2_AM748617
73	denovo417	75	9	19	66	376	283.5	D1.2_AM748617
74	denovo2710	78.02	20	32	77	587	284.5	H6_AJ291520
75	denovo177	70.48	12	21	78	376	285	D1.2_AM748617
76	denovo572	78.26	16	23	41	368	286	D1.1_AM748564
77	denovo2040	83.48	15	34	48	587	287	H6_AJ291520
78	denovo1190	71.47	17	18	70	368	288.5	D1.1_AM748564
79	denovo1947	75.8	21	22	48	376	288.5	D1.2_AM748617
80	denovo2222	79.72	12	15	30	281	289	F4.1a_AM748573
81	denovo786	76.53	9	17	43	294	289	F5.1c_AM748593
82	denovo373	78.4	14	16	40	324	290	C49_AY589754
83	denovo1177	78.92	15	32	62	517	290	H6_AJ291520
84	denovo203	73.47	15	12	51	294	291	F5.2c_AM748596
85	denovo2731	69.39	23	14	53	294	291	F1_JN558066
86	denovo130	75	17	18	46	324	291	C49_AY589754
87	denovo773	77.03	11	11	43	283	291.5	C35.1_AY765401
88	denovo2653	76.14	13	12	48	306	291.5	I1_FN561559
89	denovo1105	76.23	17	22	38	324	293.5	C49_AY589754
90	denovo2238	74.92	12	13	50	299	294	F3.2_AM748567
91	denovo1166	81.91	9	20	39	376	295	D1.2_AM748617
92	denovo1549	78.19	21	18	43	376	295.5	D1.2_AM748617
93	denovo354	73.81	10	17	50	294	296.5	F1_JN558066
94	denovo2835	75	14	17	40	284	297	F110_AJ291526
95	denovo2208	67.25	15	12	66	284	297	F110_AJ291526
96	denovo2668	75.16	13	16	47	306	298.5	I3_FN561561
97	denovo1724	75.3	22	11	29	251	299	A15b_EU792886
98	denovo1476	79.38	14	15	31	291	299	C1195_EU099821
99	denovo13	79.79	11	20	45	376	299	D1.2_AM748617
100	denovo159	75.82	10	15	49	306	300.5	I1_FN561559
