Coral_Species,Coral_Tag,Site,Disturbance_Level,ord_sample_2,Notes,
F. pentagona,4,35,Medium,KI15bFSYM002,,
F. pentagona,192,38,Low,KI14FSYM192,,
F. pentagona,205,38,Low,KI14FSYM205,,
F. pentagona,213,38,Low,KI14FSYM213,,
F. pentagona,231,3,Low,KI14FSYM231,,
F. pentagona,245,8,Medium,KI14FSYM245,,
F. pentagona,249,8,Medium,KI14FSYM249,,
F. pentagona,271,27,VeryHigh,KI15bFSYM197,,
F. pentagona,285,14,Medium,KI14FSYM285,,
F. pentagona,298,14,Medium,KI14FSYM298,,
F. pentagona,341,34,Medium,KI14FSYM341,,
F. pentagona,352,34,Medium,KI14FSYM352,,
F. pentagona,373,25,High,KI14FSYM373,,
F. pentagona,386,30,VeryHigh,KI15aFSYM145,,
F. pentagona,435,30,VeryHigh,KI15bFSYM065,,
F. pentagona,439,30,VeryHigh,KI15bFSYM068,,
F. pentagona,449,27,VeryHigh,KI14FSYM449,,
F. pentagona,454,27,VeryHigh,KI14FSYM454,,
F. pentagona,473,27,VeryHigh,KI14FSYM473,,
F. pentagona,487,32,VeryHigh,KI15bFSYM187,,
F. pentagona,492,32,VeryHigh,KI15bFSYM191,,
F. pentagona,583,15,VeryLow,KI15aFSYM032,,
F. pentagona,588,15,VeryLow,KI15bFSYM084,,
F. pentagona,592,15,VeryLow,KI15bFSYM088,,
F. pentagona,597,15,VeryLow,KI15aFSYM046,,
F. pentagona,605,15,VeryLow,KI15aFSYM057,,
F. pentagona,623,15,VeryLow,KI15aFSYM072,,
F. pentagona,628,15,VeryLow,KI15aFSYM077,,
F. pentagona,685,27,VeryHigh,KI15bFSYM147,,
F. pentagona,719,8,Medium,KI15bFSYM184,,
F. pentagona,722,27,VeryHigh,KI15bFSYM200,,
F. pentagona,726,27,VeryHigh,KI15bFSYM204,,
F. pentagona,736,27,VeryHigh,KI15bFSYM214,,
F. pentagona,770,32,VeryHigh,KI15bFSYM247,,
F. pentagona,772,32,VeryHigh,KI15bFSYM249,,
F. pentagona,781,34,Medium,KI15bFSYM277,,
F. pentagona,786,34,Medium,KI15bFSYM282,,
F. pentagona,800,5,VeryLow,KI15bFSYM296,,
F. pentagona,810,5,VeryLow,KI15bFSYM306,,
F. pentagona,844,34,Medium,KI15bFSYM340,,
F. pentagona,856,34,Medium,KI15bFSYM352,,
F. pentagona,911,8,Medium,NA,,
F. pentagona,929,35,Medium,NA,,
F. pentagona,937,27,VeryHigh,NA,,
F. pentagona,1009,37,VeryLow,NA,,
F. pentagona,1032,37,VeryLow,NA,,
F. pentagona,1033,40,High,NA,,
